gene_a	gene_b	combined_score	class_evidence_score	escore	dscore
IL4R	STAT6	0.873	0.7304483837330553	0.483	0.5
IL4R	TYK2	0.792	0.7153284671532846	0.22	0.65
IL5	IL5RA	0.999	0.9916579770594369	0.96	0.8
IL5RA	JAK1	0.756	0.7416058394160584	0.292	0.65
IL5RA	JAK2	0.756	0.7416058394160584	0.292	0.65
IL6	IL6R	0.999	0.9965589155370177	0.967	0.9
IL6	IL6ST	0.999	0.9903649635036497	0.967	0.72
IL6R	IL6ST	0.999	0.9940563086548487	0.943	0.9
IL6R	JAK1	0.921	0.8523461939520335	0.292	0.8
IL6R	JAK2	0.8	0.8	0	0.8
IL6R	JAK3	0.8	0.8	0	0.8
IL6ST	JAK1	0.992	0.967778936392075	0.691	0.9
IL6ST	JAK2	0.967	0.8523461939520335	0.292	0.8
IL6ST	LIFR	0.996	0.9433785192909281	0.457	0.9
IL6ST	OSM	0.927	0.7168925964546402	0.457	0.5
IL6ST	OSMR	0.957	0.8867570385818561	0.457	0.8
IL6ST	PTPN11	0.867	0.7168925964546402	0.457	0.5
IL6ST	SOCS3	0.964	0.7168925964546402	0.457	0.5
IL6ST	TYK2	0.917	0.7416058394160584	0.292	0.65
IL7	IL7R	0.999	0.9791449426485923	0.96	0.5
IL7R	JAK1	0.986	0.9	0	0.9
IL7R	JAK2	0.815	0.8	0	0.8
IL7R	JAK3	0.932	0.8523461939520335	0.292	0.8
IL9	IL9R	0.984	0.9025026068821689	0.813	0.5
IL9R	JAK1	0.926	0.9261730969760167	0.292	0.9
INPP5D	INPPL1	0.912	0.9128258602711158	0.164	0.9
INPP5D	LYN	0.95	0.9261730969760167	0.292	0.9
INPP5D	PIK3R1	0.716	0.7168925964546402	0.457	0.5
INPP5D	PTPN11	0.716	0.7168925964546402	0.457	0.5
INPP5D	SHC1	0.909	0.7168925964546402	0.457	0.5
INPPL1	PIK3R1	0.799	0.7997914494264858	0.616	0.5
INPPL1	PLCG2	0.8	0.8	0	0.8
INPPL1	PTPN11	0.8	0.8	0	0.8
INPPL1	SHC1	0.979	0.9197080291970803	0.615	0.8
INPPL1	SRC	0.841	0.8	0	0.8
INPPL1	YES1	0.804	0.8045881126173097	0.063	0.8
INS	INS-IGF2	0.9	0.9	0.9	0
INS	INSR	0.999	0.9931178310740355	0.967	0.8
INS	PDGFA	0.9	0.9	0	0.9
INS	PDGFB	0.9	0.9	0	0.9
INS	TGFA	0.9	0.9	0	0.9
INS-IGF2	INSR	0.923	0.9	0.9	0
INSR	INSRR	0.98	0.9453180396246089	0.886	0.54
INSR	IRS1	0.997	0.9736183524504692	0.945	0.54
INSR	IRS2	0.977	0.9713242961418144	0.945	0.5
INSR	PTPN1	0.97	0.96	0.96	0
INSR	SHC1	0.885	0.7168925964546402	0.457	0.5
INSRR	PTPN1	0.909	0.909	0.909	0
IRAK1	IRAK2	0.998	0.946089676746611	0.483	0.9
IRAK1	IRAK4	0.999	0.9543274244004172	0.562	0.9
IRAK1	IRF7	0.973	0.7064650677789364	0.437	0.5
IRAK1	MAP3K7	0.808	0.7168925964546402	0.457	0.5
IRAK1	MYD88	0.998	0.8871741397288843	0.459	0.8
IRAK1	PELI1	0.986	0.7168925964546402	0.457	0.5
IRAK1	PELI2	0.97	0.7168925964546402	0.457	0.5
IRAK1	PELI3	0.968	0.7168925964546402	0.457	0.5
IRAK1	SQSTM1	0.886	0.8867570385818561	0.457	0.8
IRAK1	TAB2	0.986	0.8613138686131387	0.734	0.5
IRAK1	TOLLIP	0.989	0.7168925964546402	0.457	0.5
IRAK1	TRAF6	0.999	0.9433785192909281	0.457	0.9
IRAK2	IRAK4	0.999	0.9791449426485923	0.96	0.5
IRAK2	MYD88	0.999	0.9582898852971845	0.92	0.5
IRAK2	TRAF6	0.999	0.9433785192909281	0.457	0.9
IRAK3	TRAF6	0.928	0.8867570385818561	0.457	0.8
IRAK4	MYD88	0.999	0.9924921793534932	0.964	0.8
IRAK4	PELI1	0.96	0.7168925964546402	0.457	0.5
IRAK4	PELI2	0.898	0.7168925964546402	0.457	0.5
IRAK4	TOLLIP	0.92	0.8	0	0.8
IRAK4	TRAF6	0.999	0.9433785192909281	0.457	0.9
IRF7	MYD88	0.994	0.7304483837330553	0.483	0.5
IRF7	TBK1	0.926	0.9261730969760167	0.292	0.9
IRF7	TRAF6	0.989	0.7168925964546402	0.457	0.5
IRF9	STAT1	0.999	0.9550573514077163	0.569	0.9
IRF9	STAT2	0.999	0.9681960375391032	0.695	0.9
IRF9	STAT3	0.969	0.9328467153284672	0.356	0.9
IRF9	STAT4	0.941	0.9090719499478624	0.128	0.9
IRF9	STAT5A	0.916	0.9034410844629823	0.074	0.9
IRF9	STAT5B	0.916	0.9034410844629823	0.074	0.9
IRF9	STAT6	0.977	0.9034410844629823	0.074	0.9
IRS1	IRS2	0.997	0.9256517205422315	0.287	0.9
IRS1	PIK3R1	0.993	0.7178310740354537	0.549	0.4
IRS1	PTPN11	0.998	0.954	0.954	0
IRS2	JAK2	0.921	0.8	0	0.8
IRS2	LYN	0.8	0.8	0	0.8
ITGA1	ITGA2	0.965	0.9	0	0.9
ITGA1	ITGA3	0.946	0.9	0	0.9
ITGA1	ITGA4	0.902	0.9	0	0.9
ITGA1	ITGA5	0.9	0.9	0	0.9
ITGA1	ITGAL	0.9	0.9	0	0.9
ITGA1	ITGAV	0.9	0.9	0	0.9
ITGA1	ITGB1	0.998	0.9433785192909281	0.457	0.9
ITGA1	ITGB2	0.931	0.9	0	0.9
ITGA1	ITGB3	0.952	0.9	0	0.9
ITGA1	ITGB5	0.925	0.9	0	0.9
ITGA1	PTK2	0.8	0.8	0	0.8
ITGA1	PXN	0.8	0.8	0	0.8
ITGA1	TLN1	0.852	0.8523461939520335	0.292	0.8
ITGA2	ITGA3	0.955	0.9	0	0.9
ITGA2	ITGA4	0.916	0.9	0	0.9
ITGA2	ITGA5	0.945	0.9	0	0.9
ITGA2	ITGAL	0.9	0.9	0	0.9
ITGA2	ITGAV	0.95	0.9	0	0.9
ITGA2	ITGB1	0.998	0.9433785192909281	0.457	0.9
ITGA2	ITGB2	0.943	0.9	0	0.9
ITGA2	ITGB3	0.925	0.9	0	0.9
ITGA2	ITGB5	0.947	0.9	0	0.9
ITGA2	PTK2	0.8	0.8	0	0.8
ITGA2B	ITGAV	0.941	0.9	0	0.9
ITGA2B	ITGB1	0.82	0.8	0	0.8
ITGA2B	ITGB3	0.999	0.9958289885297185	0.96	0.9
ITGA2B	PTK2	0.8	0.8	0	0.8
ITGA3	ITGA4	0.915	0.9	0	0.9
ITGA3	ITGA5	0.94	0.9	0	0.9
ITGA3	ITGAL	0.9	0.9	0	0.9
ITGA3	ITGAV	0.955	0.9	0	0.9
ITGA3	ITGB1	0.997	0.9433785192909281	0.457	0.9
ITGA3	ITGB2	0.94	0.9	0	0.9
ITGA3	ITGB3	0.917	0.9	0	0.9
ITGA3	ITGB5	0.958	0.9261730969760167	0.292	0.9
ITGA3	PTK2	0.817	0.8	0	0.8
ITGA4	ITGA5	0.957	0.9	0	0.9
ITGA4	ITGAL	0.92	0.9	0	0.9
ITGA4	ITGAV	0.934	0.9192909280500522	0.226	0.9
ITGA4	ITGB1	0.999	0.9433785192909281	0.457	0.9
ITGA4	ITGB2	0.95	0.9	0	0.9
ITGA4	ITGB3	0.971	0.9192909280500522	0.226	0.9
ITGA4	ITGB5	0.91	0.9	0	0.9
ITGA4	PTK2	0.852	0.8523461939520335	0.292	0.8
ITGA4	VCAM1	0.998	0.9034410844629823	0.074	0.9
ITGA5	ITGAL	0.92	0.9	0	0.9
ITGA5	ITGAV	0.937	0.9	0	0.9
ITGA5	ITGB1	0.999	0.9957247132429614	0.959	0.9
ITGA5	ITGB2	0.965	0.9	0	0.9
ITGA5	ITGB3	0.991	0.9433785192909281	0.457	0.9
ITGA5	ITGB5	0.958	0.9261730969760167	0.292	0.9
ITGA5	PTK2	0.8	0.8	0	0.8
ITGA5	TLN1	0.936	0.9192909280500522	0.226	0.9
ITGA5	TLN2	0.921	0.9	0	0.9
ITGA5	VEGFA	0.716	0.7168925964546402	0.457	0.5
ITGA5	VTN	0.94	0.7199999999999999	0	0.72
ITGA6	ITGB1	0.999	0.9957247132429614	0.959	0.9
ITGA6	PTK2	0.825	0.8	0	0.8
ITGA9	ITGB1	0.986	0.9554744525547445	0.573	0.9
ITGA9	PTK2	0.8	0.8	0	0.8
ITGAL	ITGAM	0.991	0.9	0	0.9
ITGAL	ITGAV	0.9	0.9	0	0.9
ITGAL	ITGB1	0.905	0.9	0	0.9
ITGAL	ITGB2	0.999	0.9922836287799791	0.926	0.9
ITGAL	ITGB3	0.905	0.9	0	0.9
ITGAL	ITGB5	0.905	0.9	0	0.9
