comparison	bc_input_genes	other_input_genes	bc_mapped_genes	other_mapped_genes	module_overlap_genes	jaccard_similarity	d_ab	d_aa	d_bb	separation_s_ab	cross_finite_pair_distances	cross_unreachable_pair_distances	cross_finite_fraction	within_bc_finite_pair_distances	within_bc_unreachable_pair_distances	within_other_finite_pair_distances	within_other_unreachable_pair_distances	within_other_finite_fraction
BC-RA	10	225	10	222	2	0.008695652173913044	4.647342995169082	3.317073170731707	4.509892086330935	0.733860366637761	1035	1185	0.46621621621621623	82	18	13344	35940	0.2707572437302167
BC-DM	10	88	10	87	0	0.0	4.431746031746032	3.317073170731707	4.153846153846154	0.6962863694571011	315	555	0.3620689655172414	82	18	1287	6282	0.1700356718192628
