ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology
GO:0043296,apical junction complex,58/2777,148/15710,0.391891891891892,2.2170045450564,6.8929150044842,4.83119579691171e-10,8.27342280221131e-08,7.551921850962e-08,PARD6B/SORBS1/JAM2/AMOTL1/NECTIN3/MAPK15/ADCYAP1R1/MAPK15/CLMP/CDH5/LSR/DLG3/USP53/NECTIN2/TJP3/CGN/AMOTL2/EPPK1/SAPCD2/CAMSAP3/CLDN7/MICALL2/CLDN5/CDH1/CYTH2/EPCAM/SYNPO/FRMD4A/OCLN/AJM1/CLDN11/NHS/PATJ/RAPGEF2/MARVELD2/SHROOM3/YAP1/JUP/UBN1/ESAM/EPB41L4B/ACTG1/KIFC3/ILDR1/FZD5/SHROOM2/TJP1/NPHP4/CLDN12/TRAF4/MARVELD2/JAM3/CLDN23/CXADR/MPDZ/MARVELD3/YBX3/TJP2,58,CC
GO:1901342,regulation of vasculature development,93/2643,279/14948,0.333333333333333,1.88523142893177,6.91740911314421,1.49154776489974e-10,8.88019993209476e-08,7.14580394366971e-08,XBP1/CD36/PPARG/PDE3B/NPR1/SFRP1/SPRY2/CREB3L1/FOXC1/KLF4/LEP/RGCC/ADM/PKM/CXCL12/ADGRB2/EFNA3/TGFBR2/TNMD/ERBB2/CDH5/AQP1/CD34/DCN/ADGRA2/CX3CL1/ANGPTL4/HSPB6/TSPAN12/PPP1R16B/TWIST1/HOXA5/ITGAX/RECK/ANXA3/SERPINF1/FGF1/CLDN5/RUNX1/FYN/VEGFB/QKI/PRKD1/RHOJ/ADAMTS9/ADM2/TNN/ITGB1/ECSCR/ACVRL1/EMILIN2/KDR/JAK1/ADAMTS1/EMP2/FLT1/RTN4/TLR3/PTGIS/ROCK2/CMA1/ANGPT4/FGF2/KLF2/COL4A2/JUP/FOXO4/RAPGEF3/ISM1/TJP1/TIE1/NRP1/ETS1/DDAH1/PDPK1/ADGRB3/C3/PAK4/RRAS/JCAD/EPHA2/LRG1/AKT3/GPNMB/F3/BTG1/DAB2IP/ATP2B4/SASH1/ABCC8/NAXE/NFE2L2/IL6,93,BP
GO:0003018,vascular process in circulatory system,85/2643,247/14948,0.34412955465587,1.94629155618462,6.9499998067945,1.51171311102343e-10,8.88019993209476e-08,7.14580394366971e-08,CD36/SLC1A4/CAV1/COMP/SLC16A7/EGFR/NPR1/SLC2A4/SLC2A10/LEPR/FOXC1/HBB/ANGPT1/AKAP12/NHERF1/PTGS2/LEP/ADM/KAT2B/FERMT2/ABCC9/TRPM4/PDE2A/BMP6/ADRA1A/SVEP1/CDH5/EDN1/EDNRB/SLC22A3/SOD3/ZEB2/SLC29A4/AVPR1A/ITGA1/SLC4A4/SNTA1/ATP1A2/SLC1A1/SLC7A8/FABP5/FAAH/TJP3/TACR1/SOD2/SLC4A8/ADD3/SLCO1C1/ITGB1BP1/CLDN5/VSTM4/ADRA2A/SLIT2/ADRB2/HRH1/PDE3A/SCNN1B/ACTA2/OCLN/ITGA9/ITGB1/ADRB1/SLC7A2/LRP1/ROCK2/SLC38A1/ADRA1B/KLF2/SLC22A5/RGS2/ATP2A3/SLC6A4/KCNJ8/LRP2/ARHGAP42/ATP8A1/TJP1/P2RY1/DDAH1/EDN2/ATP2B4/ABCC8/TJP2/ABCC5/ITGA9,85,BP
GO:0050673,epithelial cell proliferation,119/2643,387/14948,0.30749354005168,1.73908945769675,6.82718512009147,1.51461707864485e-10,8.88019993209476e-08,7.14580394366971e-08,XBP1/ESR1/CAV1/CAV2/PPARG/EGFR/IQGAP3/UHRF1/RGN/SFRP1/AR/IGF1/GATA3/LEP/RGCC/CDKN1C/HPN/ATOH8/CXCL12/KLF9/VDR/TNMD/BMP6/ERBB2/EDNRB/IRF6/ZEB2/CD34/CDK6/PPP1R16B/LAMB1/POLD4/GPC3/B2M/NR1D1/TWIST1/TACR1/CDKN2B/CFLAR/EPPK1/HOXA5/NFIB/ITGB1BP1/MMRN2/SERPINF1/EGFL7/FGF1/BMP5/VEGFB/CYP7B1/ZNF703/PRKD1/FAP/VSTM4/OSR1/ZEB1/LIMS2/OSR2/TGFBR3/IGFBP5/SAV1/DAB2/ROBO1/HMGN1/MAGED1/KDF1/ZFP36/IGFBP3/NR4A1/ACVRL1/MEF2C/RAP1GAP/ESRP2/KDR/FLT1/RTN4/BTRC/FGF7/HGF/FBXW7/KDM5B/FGF2/LAMA5/YAP1/RPS6KA1/EFNB2/PYGO2/BMPR1A/ACVR2A/OVOL1/ALDH1A2/RBPJ/FUT2/EYA1/CCN3/SRSF6/OVOL2/TIE1/NRP1/PDPK1/SNAI2/CCL2/BAX/JCAD/SULF2/SFN/EPHA2/LRG1/AKT3/FGFR1/F3/DAB2IP/LAMC1/CDKN1C/IRS2/SIX4/MARVELD3/IL6/PURA,119,BP
GO:0005201,extracellular matrix structural constituent,61/2709,155/15503,0.393548387096774,2.25218923778564,7.20949950338871,8.66277729218656e-11,1.01195348675321e-07,8.77634644833563e-08,COL10A1/COL11A1/MFGE8/DPT/TINAGL1/POSTN/COMP/COL6A6/MATN3/MFAP4/FN1/AGRN/TUFT1/TNXB/TNC/TNXB/PRELP/EFEMP1/LAMA4/ADIPOQ/SRPX/ABI3BP/DCN/MMRN1/FGL2/COL3A1/COL15A1/LAMB1/MATN2/FBLN5/VWF/COL1A1/BGN/COL21A1/MMRN2/THSD4/COL4A5/FBLN2/OGN/FMOD/NPNT/MFAP5/TNXB/LAMA3/TFPI2/EMILIN2/COL25A1/LAMA2/COL17A1/LAMA5/COL4A2/TNXB/COL4A1/NID1/FBLN1/LAMB3/ESM1/PRG4/LAMC1/VWA1/HMCN2,61,MF
GO:0005178,integrin binding,61/2709,158/15503,0.386075949367089,2.20942615099224,7.03104127886525,2.17831176987876e-10,1.01195348675321e-07,8.77634644833563e-08,MFGE8/COMP/JAM2/EGFR/ADAMTS5/ITGA8/ITGA6/CCN4/IGF1/EGFL6/FN1/ECM2/FERMT2/TNXB/TNC/TNXB/PLPP3/CXCL12/TLN2/SVEP1/SPP1/ITGA1/COL3A1/CX3CL1/FBLN5/VWF/UTRN/ITGAX/ITGB1BP1/ITGA7/FGF1/FAP/ICAM2/NPNT/TNN/TNXB/ITGA9/ITGB1/KDR/EMP2/VCAM1/ECM2/FGF2/LAMA5/SLC6A4/FCER2/TNXB/FBLN1/CCN3/TLN1/CD81/CCN5/ESM1/PTPRZ1/SELP/ADAMTS13/CD9/GPNMB/JAM3/CXADR/ITGA9,61,MF
GO:0019199,transmembrane receptor protein kinase activity,37/2709,75/15503,0.493333333333333,2.82323612649194,7.28306070377447,2.41901231893197e-10,1.01195348675321e-07,8.77634644833563e-08,NTRK2/ACVR1C/EGFR/BMPR1B/EPHA4/NTRK3/DDR2/TYRO3/EFNA3/EFEMP1/TGFBR2/ERBB2/RET/MET/DDR1/FGFR3/TGFBR3/ERBB4/EPHA3/ACVRL1/KDR/PDGFRA/FLT1/CRIM1/MST1R/EFNA4/BMPR1A/ACVR2A/DDR1/FGFR4/ROR2/TIE1/NRP1/EPHB3/EPHA2/MERTK/FGFR1,37,MF
GO:0050678,regulation of epithelial cell proliferation,103/2643,322/14948,0.319875776397516,1.80911960105564,6.80240778766156,2.27168781383402e-10,1.21080960477353e-07,9.74325816421443e-08,XBP1/CAV1/CAV2/PPARG/EGFR/IQGAP3/UHRF1/RGN/SFRP1/AR/IGF1/GATA3/LEP/RGCC/CDKN1C/HPN/ATOH8/CXCL12/KLF9/VDR/TNMD/BMP6/ERBB2/EDNRB/IRF6/CDK6/PPP1R16B/LAMB1/POLD4/GPC3/B2M/NR1D1/TWIST1/TACR1/CDKN2B/CFLAR/EPPK1/HOXA5/NFIB/MMRN2/SERPINF1/EGFL7/FGF1/BMP5/VEGFB/CYP7B1/ZNF703/PRKD1/OSR1/ZEB1/LIMS2/OSR2/TGFBR3/SAV1/DAB2/ROBO1/HMGN1/MAGED1/KDF1/ZFP36/NR4A1/ACVRL1/MEF2C/RAP1GAP/ESRP2/KDR/FLT1/RTN4/FGF7/FBXW7/KDM5B/FGF2/LAMA5/YAP1/EFNB2/PYGO2/BMPR1A/OVOL1/ALDH1A2/RBPJ/FUT2/EYA1/SRSF6/OVOL2/TIE1/NRP1/PDPK1/SNAI2/CCL2/BAX/JCAD/SULF2/SFN/LRG1/AKT3/FGFR1/F3/DAB2IP/LAMC1/CDKN1C/IRS2/SIX4/MARVELD3,103,BP
GO:0071375,cellular response to peptide hormone stimulus,105/2643,331/14948,0.317220543806647,1.79410241726135,6.77089659383135,2.59868798250933e-10,1.26967563678768e-07,1.0216946962813e-07,XBP1/PDK4/INHBA/CAV1/NTRK2/CAV2/GJB2/SORBS1/PPARG/PDE3B/EGFR/EPHA4/SLC2A4/PCK1/SESN3/LEP/PID1/NTRK3/DDR2/SIK2/KAT2B/TYRO3/SOCS2/VWA2/PKM/PIK3CA/FOXO1/CRHBP/ADIPOQ/ERBB2/GHR/TRIB3/EDN1/RET/PIK3R2/RHOQ/MET/RARRES2/LHCGR/FBP1/LEPROT/KANK1/SGCB/CFLAR/DDR1/TRARG1/FGFR3/TRARG1/GLP2R/FOS/GPLD1/PARP1/PRKD1/ECHDC3/SLC25A33/TSC2/INHBB/SOCS3/MAP1B/ERBB4/EPHA3/PIK3R1/SCNN1B/MTCL2/NR4A1/KDR/SOS1/PDGFRA/ZNF106/JAK1/CDC6/FLT1/HDAC9/EIF4EBP2/MST1R/ROCK2/ASS1/ZBTB7B/GDF15/FOXO4/TBC1D4/DDR1/ENPP1/FGFR4/PDK2/PTPN11/ROR2/TIE1/SREBF1/PIP4K2C/PDPK1/TNS2/EPHB3/SCNN1D/SMARCC1/EPHA2/MERTK/SLC26A6/FGFR1/LPIN1/IRS2/NFE2L2/CCNA2/HDAC5/FER,105,BP
GO:0038084,vascular endothelial growth factor signaling pathway,42/2643,91/14948,0.461538461538462,2.61032044005937,7.14088813668514,3.22147409522076e-10,1.45288481694456e-07,1.16912120605502e-07,NTRK2/EGFR/EPHA4/VEGFD/SPRY2/FOXC1/NTRK3/DDR2/TYRO3/TNXB/TNXB/PIK3CA/ERBB2/RET/MET/DCN/ADGRA2/DDR1/FGFR3/VEGFB/ERBB4/EPHA3/ROBO1/CADM4/TNXB/ITGB1/KDR/PDGFRA/FLT1/MST1R/DDR1/FGFR4/TNXB/ROR2/TIE1/NRP1/EPHB3/JCAD/EPHA2/MERTK/FGFR1/DAB2IP,42,BP
